Targeting Code	Price (CPM)	Full Name	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Description	Updated Description
FDCSG9	$1.50	Factual Singapore > Behavioral > Lifestyle and Lifestage > Moviegoers	Factual	Factual Singapore	Behavioral	Lifestyle and Lifestage	Moviegoers			Consumers that frequent movie theaters.	
FDCSG8	$1.50	Factual Singapore > Behavioral > Lifestyle and Lifestage > Live Sports Fans	Factual	Factual Singapore	Behavioral	Lifestyle and Lifestage	Live Sports Fans			Consumers that attend live sporting events.	
FDCSG7	$1.50	Factual Singapore > Behavioral > Lifestyle and Lifestage > Live Music Fans and Concert-goers	Factual	Factual Singapore	Behavioral	Lifestyle and Lifestage	Live Music Fans and Concert-goers			Consumers that attend concerts and other live music events.	
FDCSG6	$1.50	Factual Singapore > Behavioral > Lifestyle and Lifestage > Gym and Fitness Lifestyle	Factual	Factual Singapore	Behavioral	Lifestyle and Lifestage	Gym and Fitness Lifestyle			Consumers that regularly go to gyms or fitness centers.	
FDCSG5	$1.50	Factual Singapore > Behavioral > Lifestyle and Lifestage > Family Fun Lifestyle (Family Fun Activities)	Factual	Factual Singapore	Behavioral	Lifestyle and Lifestage	Family Fun Lifestyle (Family Fun Activities)			Consumers that attend venues like amusement parks, zoos, and aquariums.	
FDCSG4	$1.50	Factual Singapore > Behavioral > Lifestyle and Lifestage > College Students	Factual	Factual Singapore	Behavioral	Lifestyle and Lifestage	College Students			Consumers that are college or graduate students and spend time on campus.	
FDCSG3	$1.50	Factual Singapore > Behavioral > Food and Beverage > Fast Food and QSR Diners (Quick Serve Restaurant Diner)	Factual	Factual Singapore	Behavioral	Food and Beverage	Fast Food and QSR Diners (Quick Serve Restaurant Diner)			Consumers with location history patterns that include frequent visits to quick serve restaurants.	
FDCSG26	$1.50	Factual Singapore > Brand Shoppers > The Coffee Bean and Tea Leaf	Factual	Factual Singapore	Brand Shoppers		The Coffee Bean and Tea Leaf			Consumers that have recently been to The Coffee Bean and Tea Leaf	
FDCSG25	$1.50	Factual Singapore > Brand Shoppers > Starbucks	Factual	Factual Singapore	Brand Shoppers		Starbucks			Consumers that have recently been to a Starbucks	
FDCSG24	$1.50	Factual Singapore > Brand Shoppers > 7-Eleven	Factual	Factual Singapore	Brand Shoppers		7-Eleven			Consumers that have recently been to a 7-Eleven	
FDCSG23	$1.50	Factual Singapore > Brand Shoppers > Watsons	Factual	Factual Singapore	Brand Shoppers		Watsons			Consumers that have recently been to a Watsons	
FDCSG22	$1.50	Factual Singapore > Brand Shoppers > Subway	Factual	Factual Singapore	Brand Shoppers		Subway			Consumers that have recently been to a Subway	
FDCSG21	$1.50	Factual Singapore > Brand Shoppers > Pizza Hut	Factual	Factual Singapore	Brand Shoppers		Pizza Hut			Consumers that have recently been to a Pizza Hut	
FDCSG20	$1.50	Factual Singapore > Brand Shoppers > McDonald's	Factual	Factual Singapore	Brand Shoppers		McDonald's			Consumers that have recently been to a McDonald's	
FDCSG2	$1.50	Factual Singapore > Behavioral > Food and Beverage > Coffee and Tea Enthusiasts	Factual	Factual Singapore	Behavioral	Food and Beverage	Coffee and Tea Enthusiasts			Consumers that enjoy drinking coffee and tea.	
FDCSG19	$1.50	Factual Singapore > Brand Shoppers > KFC	Factual	Factual Singapore	Brand Shoppers		KFC			Consumers that have recently been to a KFC	
FDCSG18	$1.50	Factual Singapore > Brand Shoppers > Burger King	Factual	Factual Singapore	Brand Shoppers		Burger King			Consumers that have recently been to a Burger King	
FDCSG17	$1.50	Factual Singapore > Behavioral > Travel and Transportation > Public Transportation Commuters (Daily Commuter)	Factual	Factual Singapore	Behavioral	Travel and Transportation	Public Transportation Commuters (Daily Commuter)			Consumers that commute via public transportation on a regular schedule.	
FDCSG16	$1.50	Factual Singapore > Behavioral > Travel and Transportation > Frequent Travelers	Factual	Factual Singapore	Behavioral	Travel and Transportation	Frequent Travelers			Consumers that frequently travel by plane or train.	
FDCSG15	$1.50	Factual Singapore > Behavioral > Travel and Transportation > Business Travelers	Factual	Factual Singapore	Behavioral	Travel and Transportation	Business Travelers			Consumers whose location patterns indicate travel between cities for work.	
FDCSG14	$1.50	Factual Singapore > Behavioral > Retail > Luxury Goods Shoppers (Affluent Consumer)	Factual	Factual Singapore	Behavioral	Retail	Luxury Goods Shoppers (Affluent Consumer)			Consumers that shop for luxury goods and services.	
FDCSG13	$1.50	Factual Singapore > Behavioral > Retail > Health Food Shoppers	Factual	Factual Singapore	Behavioral	Retail	Health Food Shoppers			Consumers that frequent health food stores.	
FDCSG12	$1.50	Factual Singapore > Behavioral > Retail > Financial Services Customers	Factual	Factual Singapore	Behavioral	Retail	Financial Services Customers			Consumers that frequently use financial services.	
